target,file_abs_path,check_id,check_name,severity,resource,guideline,error,stderr
D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet,D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet\clusterpost\bigchaindb\k8s\nginx-https\container\nginx.conf.template,CKV_SECRET_6,Base64 High Entropy String,,8cb785e14e49e569955ffdea36a19434bc4df2aa,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/secrets-policies/secrets-policy-index/git-secrets-6,,
D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet,D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet\clusterpost\bigchaindb\k8s\nginx-openresty\container\nginx.conf.template,CKV_SECRET_6,Base64 High Entropy String,,4dfd0d382f8c8e625c5a16d988b428147b377e8f,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/secrets-policies/secrets-policy-index/git-secrets-6,,
D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet,D:\CloudGuardAI\iac_subset\Othello1111_Decentralized_Internet\clusterpost\bigchaindb\k8s\nginx-openresty\container\nginx.lua.template,CKV_SECRET_6,Base64 High Entropy String,,4dfd0d382f8c8e625c5a16d988b428147b377e8f,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/secrets-policies/secrets-policy-index/git-secrets-6,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Shipper\Dockerfile.shipper,CKV_DOCKER_7,Ensure the base image uses a non latest version tag,,/src\CrazyBike.Shipper\Dockerfile.shipper.FROM,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-base-image-uses-a-non-latest-version-tag,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Shipper\Dockerfile.shipper,CKV_DOCKER_2,Ensure that HEALTHCHECK instructions have been added to container images,,/src\CrazyBike.Shipper\Dockerfile.shipper.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Shipper\Dockerfile.shipper,CKV_DOCKER_3,Ensure that a user for the container has been created,,/src\CrazyBike.Shipper\Dockerfile.shipper.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-a-user-for-the-container-has-been-created,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Buy\Dockerfile.buy,CKV_DOCKER_7,Ensure the base image uses a non latest version tag,,/src\CrazyBike.Buy\Dockerfile.buy.FROM,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-base-image-uses-a-non-latest-version-tag,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Buy\Dockerfile.buy,CKV_DOCKER_2,Ensure that HEALTHCHECK instructions have been added to container images,,/src\CrazyBike.Buy\Dockerfile.buy.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Buy\Dockerfile.buy,CKV_DOCKER_3,Ensure that a user for the container has been created,,/src\CrazyBike.Buy\Dockerfile.buy.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-a-user-for-the-container-has-been-created,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Assembler\Dockerfile.assembler,CKV_DOCKER_7,Ensure the base image uses a non latest version tag,,/src\CrazyBike.Assembler\Dockerfile.assembler.FROM,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-base-image-uses-a-non-latest-version-tag,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Assembler\Dockerfile.assembler,CKV_DOCKER_2,Ensure that HEALTHCHECK instructions have been added to container images,,/src\CrazyBike.Assembler\Dockerfile.assembler.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-healthcheck-instructions-have-been-added-to-container-images,,
D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike,D:\CloudGuardAI\iac_subset\andrekiba_CrazyBike\src\CrazyBike.Assembler\Dockerfile.assembler,CKV_DOCKER_3,Ensure that a user for the container has been created,,/src\CrazyBike.Assembler\Dockerfile.assembler.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-that-a-user-for-the-container-has-been-created,,
D:\CloudGuardAI\iac_subset\chrisguest75_terraform_examples,D:\CloudGuardAI\iac_subset\chrisguest75_terraform_examples\36_codeartifact\01_test_client_npm\Dockerfile.chainguard,CKV_DOCKER_7,Ensure the base image uses a non latest version tag,,/36_codeartifact\01_test_client_npm\Dockerfile.chainguard.FROM,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/docker-policies/docker-policy-index/ensure-the-base-image-uses-a-non-latest-version-tag,,
