bin,count,avg_pred,empirical_rate
"(-0.000554, 0.00267]",2111,0.0018706764254430898,0.0
"(0.00267, 0.00414]",2111,0.0033646491844218727,0.0
"(0.00414, 0.00512]",2110,0.004603383309632391,0.0
"(0.00512, 0.00619]",2111,0.005598608354938707,0.0
"(0.00619, 0.00832]",2112,0.0071759529329626474,0.0
"(0.00832, 0.0113]",2109,0.009745693590815334,0.0
"(0.0113, 0.0155]",2111,0.01325722009504969,0.0
"(0.0155, 0.0241]",2110,0.01904478343226567,0.0
"(0.0241, 0.0498]",2111,0.03397787585229058,0.0
"(0.0498, 0.36]",2111,0.138566318752522,0.23211747986736145
